Deletion,Addition,Count,Row Indices
''+ cloud-based,''+ databases,1,[22]
''- questions,''+ such,1,[23]
"''+ tight-knit,","''+ experienced,",1,[24]
''- >http://eng.tobi.com/</a>,''+ ',1,[24]
''+ -,''+ Web,1,[24]
''- donors,''+ donations,1,[26]
''+ -,"''+ City,",1,[26]
''- >http://www.braintreepayments.com/braintree-careers</a>,''+ ',2,"[27, 91]"
''- snuff,''+ tosnuff,1,[28]
''- march,''+ move,2,"[28, 66]"
''- REDACTED_EMAIL,''+ REDACTED_EMAIL',31,"[28, 47, 66, 68, 75, 81, 94, 101, 104, 105, 113, 142, 167, 169, 170, 173, 175, 179, 182, 205, 213, 218, 226, 228, 256, 280, 296, 328, 343, 376, 392]"
''+ -,''+ Data,1,[28]
''- RG,''+ GR,1,[29]
''- Although,''+ Since,1,[29]
''+ full-time,''+ positions,1,[29]
"''- Kik,","''+ K,",1,[30]
''- Wicked,''+ We,1,[30]
''- Unlike,''+ Since,1,[31]
''+ -,''+ Thumbtack.,4,"[31, 108, 109, 110]"
''+ -,''+ Thumbtack,4,"[31, 108, 109, 110]"
''+ -,''+ Software,4,"[31, 108, 109, 110]"
''- Feather,''+ Flutter,2,"[33, 74]"
''- macOS,''+ Mac,2,"[33, 74]"
''- port,''+ aport,1,[33]
''- REDACTED_EMAIL,''+ RED,1,[33]
''- Unpakt,''+ Unukt,1,[34]
''- Www.unpakt.com/jobs,''+ BookwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwWwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,[34]
''- >http://byliner.com/jobs</a>,''+ Based,2,"[35, 183]"
''- Teespring,''+ httpespeek,1,[36]
''+ -,''+ San,3,"[36, 42, 190]"
''- nimblestorage,''+ nimblestability,1,[37]
''+ -,''+ Full,4,"[37, 42, 72, 72]"
''- >http://jobs.37signals.com/jobs/8551</a>,''+ Based,1,[38]
''+ co-founder,''+ was,1,[38]
''- DISQUS?,''+ NOT,1,[39]
''- topic,''+ matter,1,[39]
''- plants,''+ resources,1,[40]
''- peak,''+ ones,1,[40]
''- diminishing,''+ about,1,[40]
''- reserves,''+ resources,5,"[40, 107, 164, 176, 212]"
''- Quintel,''+ Quit,3,"[40, 176, 212]"
''- charming,''+ lovely,1,[40]
''- (grown,''+ (growing,1,[40]
''- monkey,''+ mongo,1,[40]
''- plain,''+ simple,3,"[40, 107, 176]"
''- *,''+ -,1,[41]
''- harper,''+ sendharper,1,[41]
''+ -,''+ we,1,[41]
''- cofounder/CTO).,''+ cofounder/CTO).',1,[42]
''- Clever,''+ Cloudver,1,[43]
''- >http://teamcoco.com/content/web-developer</a>,''+ Based,2,"[44, 45]"
''+ pre-class,''+ description,2,"[45, 45]"
''- DECK,''+ Dck,3,"[46, 46, 46]"
''- tackled,''+ tackling,1,[46]
''- bones.,''+ blood.,1,[46]
''- DoubleDutch-,''+ Double,2,"[47, 392]"
''- www.doubledutch.me,''+ doubledew.me,1,[47]
''- DoubleDutch,''+ Double,2,"[47, 392]"
''- remarkable.,''+ notable.,1,[47]
''- DoubleDutch!,''+ Double,2,"[47, 392]"
''+ award-winning,''+ provider,1,[47]
"''- caf,","''+ restaurant,",1,[49]
''- ♦,''+ •,1,[49]
''- Internet,''+ Net,2,"[52, 53]"
''- LucidMedia,''+ Lucid,1,[52]
''- eyeglasses.,''+ eyegglings.,1,[54]
''- When,''+ If,1,[54]
''- BrightTALK,''+ BrightTalk,1,[56]
''+ --------------------------------,''+ Based,1,[56]
''- ♦,''+ Lead,1,[57]
''+ H-1B,''+ welcome,1,[58]
"''+ Full-Time,",''+ H-1B,1,[59]
''+ well-funded,''+ by,2,"[59, 376]"
''+ back-end,''+ engineers,2,"[60, 60]"
''- Forbidden,''+ Forab,2,"[61, 374]"
"''- Wimbledon,",''+ Wim,1,[61]
''- compression,''+ comp,2,"[61, 374]"
''- Wimbledon,''+ Wim,1,[61]
''+ South-West,''+ of,3,"[61, 374, 374]"
''+ -,''+ Wim,1,[61]
''- CEOs,''+ executives,1,[62]
''- tackled.,''+ handled.,1,[62]
''- Payroll,''+ Applyroll,1,[62]
''- SA's,''+ S,1,[63]
''- >http://turntable.fm/jobs</a>,''+ ',1,[64]
''- (winter,''+ (sarn,1,[65]
"''- Fake,",''+ Comina,1,[65]
''- Flickr,''+ Flash,1,[65]
''+ pre-launch,''+ social,2,"[65, 92]"
''- Streak,''+ Strongak,1,[67]
''- dime.,''+ note.,1,[67]
''- Obviously:,''+ Unfortunately:,1,[67]
''- flipped,''+ flip,3,"[68, 142, 280]"
''- best-selling,''+ best-market-changing,1,[70]
''- tiny,''+ small,1,[70]
''- avenues,''+ areas,1,[70]
''- Social+Capital,''+ Social+,1,[72]
''- molecules,''+ databases,1,[75]
''- mainly,''+ mostly,1,[75]
''- Kent,"''+ Kent,",1,[75]
''- Kemmish,''+ E.,1,[75]
"''- Liverpool,","''+ Italy,",1,[78]
''- prescribing,''+ GM,1,[78]
''- catalogue,''+ chart,1,[78]
''- facilities,''+ services,1,[78]
''- team-player.,''+ team-,1,[79]
"''- impediments,","''+ infrastructure,",1,[79]
''- sufficient,''+ enough,1,[79]
''- Arch,''+ open,1,[80]
''- Hyde,''+ the,1,[80]
''- Due,''+ due,1,[80]
''- -------------------------------------------------------------,''+ -----------------------------,2,"[81, 105]"
''- DISQUS?,''+ REMQUS?,1,[83]
''- topic,''+ subject,1,[83]
''- >https://www.scirra.com/careers</a>,''+ ',1,[84]
''- Almost,''+ Since,1,[85]
"''- removed,","''+ added,",1,[85]
''- http://jobs.benzinga.com,''+ http://jobs.,1,[86]
''- Candidate,''+ Candidates,1,[87]
''- Internet,''+ Network,1,[88]
''- escalating,''+ expanding,2,"[89, 220]"
''- Capacity,''+ •,1,[89]
''- optimization,''+ fixing,1,[89]
''- recommendations.,''+ fixing,1,[89]
''- cover,''+ coverage,1,[89]
''- Sense.,''+ atSense.,1,[90]
''- 1%-3%,''+ 1%,1,[90]
''- Although,''+ While,1,[91]
''- Flickr,''+ Yelp,1,[92]
''- Everyme,''+ Ifme,1,[93]
''- showed,''+ demonstrated,1,[93]
''- surprised,''+ well,1,[93]
''- perfection.,''+ beauty.,1,[93]
''- Siegler,''+ MULL,1,[93]
''- >http://parislemon.com/post/11647475506/your-true-social-netw...</a>,''+ &,1,[93]
''+ -,''+ Lead,1,[93]
''+ -,''+ TheThinknum,1,[94]
''+ -,''+ http://thinknum.com,1,[94]
''+ -TheThinknum,''+ -,1,[94]
''- solicitation,''+ recruitment,1,[95]
''- constraints,''+ alongside,1,[95]
''- Gumroad,''+ Growth,1,[96]
''- Probably,''+ Maybe,1,[96]
''- earliest,''+ most,1,[96]
''- sizable,''+ substantial,2,"[96, 171]"
''+ -,''+ The,2,"[96, 171]"
''- ::,''+ #,1,[97]
''- ::,''+ •,1,[98]
''- truth,''+ reality,1,[99]
''- >http://dev.splunk.com</a>,''+ Based,2,"[99, 100]"
''+ analytics-driven,''+ technical,1,[102]
''- formerly,''+ previously,2,"[104, 182]"
"''- Arc90,","''+ asArc90,",2,"[104, 182]"
''+ York/NYC/Remote-friendly,''+ SFX,1,[104]
''- plants,''+ vests,1,[107]
''- peak,''+ on,1,[107]
''- diminishing,''+ growing,1,[107]
''- Quintel,''+ Quin,2,"[107, 164]"
''- charming,''+ beautiful,3,"[107, 164, 212]"
"''- evenings,","''+ nights,",2,"[107, 164]"
''- house,''+ get,1,[107]
''+ in-house,''+ chef.,3,"[108, 109, 110]"
"''- Glasgow,","''+ Bristol,",1,[112]
''+ -,''+ No,1,[114]
''- (edited,''+ (ed,1,[115]
''- unleashes,''+ uses,1,[116]
''- >http://www.blurb.com/jobs/sr-software-engineer</a>,''+ ',3,"[116, 117, 385]"
''+ --,''+ full-time,2,"[116, 117]"
''- unleashes,''+ releases,2,"[117, 385]"
''- eBook,''+ EIGHT,1,[121]
''- federation,''+ fusion,1,[123]
''+ http://onapp.com/platform/onapp-the-card-ch-done-app-no-scale,''+ anywhere,2,"[123, 123]"
''- Developers,''+ the,1,[123]
''+ http://onapp.com/platform/onapp-en-code-onapp-no-scale,''+ anywhere,1,[123]
''- avid,''+ enthusiast,1,[124]
''- >http://redguava.com.au/jobs</a>,''+ Based,3,"[125, 132, 199]"
''+ -,''+ Mostly,3,"[125, 199, 199]"
''+ on-site,''+ role,4,"[125, 132, 199, 199]"
''+ -,''+ Challenging,2,"[125, 199]"
''+ -Based,''+ on,1,[125]
''+ Full-Time,''+ Ruby,2,"[125, 132]"
''+ -,''+ 4,2,"[125, 132]"
''- hilarious,''+ funny,3,"[128, 135, 178]"
''- you,''+ you',1,[128]
"''+ full-time,remote):",''+ Timesys,3,"[128, 135, 178]"
"''- sensing,","''+ behavior,",1,[129]
''- concise,''+ succinct,1,[130]
''- sparkling,''+ creating,1,[130]
''+ Web-developer,''+ position.,1,[131]
''- refresh.io,''+ rest.io',1,[131]
''+ -ly,''+ on-site,1,[132]
''+ -,''+ Great,1,[132]
''+ -,''+ Flexible,1,[132]
''- briefing,''+ telling,1,[133]
''- May.,''+ May...,1,[136]
''- (Major,''+ EIL,1,[137]
''- FreeSWITCH,''+ FreeSWitch,1,[137]
"''- 2600hz,","''+ 2727z,",1,[137]
"''- Sebastopol,","''+ Embok,",1,[138]
''- demographics,''+ various,1,[138]
''- strengthens,''+ makes,1,[138]
''- supplemental,''+ additional,1,[138]
"''- Sebastopol,",''+ San,1,[138]
''- escalating,''+ growing,1,[139]
''- Capacity,''+ Ability,2,"[139, 220]"
''- •,''+ •ly,2,"[139, 140]"
''- •,''+ •••,1,[140]
''- escalating,''+ increasing,1,[140]
''- Capacity,''+ Data,1,[140]
''- Indeed.com,''+ Since.com,1,[141]
''- classroom,''+ classrooms,1,[142]
''- provably,''+ a,1,[142]
''- have,''+ Sanuri,1,[142]
''- THREE,''+ three,1,[148]
''+ http://blog.desksnear.me/careers/ruby-on-rails-job.html,''+ >,1,[149]
''+ high-quality,''+ software,1,[149]
"''- Florida,","''+ Miami,",1,[150]
"''- Desk.com,","''+ Desktop.com,",1,[150]
''+ -,''+ https://texastribune.org/jobs/platform-developer/,2,"[151, 151]"
''+ platform-developer,''+ position.,2,"[151, 151]"
"''- anyone,","''+ any,",1,[153]
''- 52.,''+ 50.,2,"[153, 155]"
''- explanations,''+ questions,2,"[153, 155]"
''- remembered,''+ heard,1,[153]
''- disabled,''+ disability,1,[153]
"''- Hawthorne,","''+ Engineering,",1,[154]
"''- Borg,","''+ Boston,",1,[154]
''- Simulations,''+ Software,1,[154]
''+ -,''+ http://spacex.com/careers/position/3857,1,[154]
''- writing,''+ Some,1,[154]
''- the,''+ engineer,1,[154]
''+ -,''+ http://spacex.com/careers/position/3825,1,[154]
''- all,''+ read,1,[155]
''- want,''+ wanted,1,[155]
''+ -,"''+ London,",1,[157]
''+ -,''+ Experience,1,[158]
''- Osborne.,''+ O.,1,[158]
''- Fairfax,''+ fairfair,2,"[159, 219]"
''- ideas,''+ ideas.,1,[159]
''+ front-end,''+ develop,6,"[160, 160, 184, 184, 184, 184]"
''+ front-end,''+ developers,2,"[160, 160]"
''+ -,''+ http://working,1,[161]
''- Layer,''+ Layer--,1,[163]
''- plants,''+ sources,1,[164]
''- peak,''+ summer,1,[164]
''- diminishing,''+ silification,1,[164]
''- >http://dev.splunk.com</a>,''+ ',1,[166]
''+ -,''+ Splunk,1,[166]
"''+ (full-time,","''+ H1B,",1,[166]
''- geographic,''+ geom,1,[168]
''- artistic,''+ art,2,"[169, 300]"
''- printed,''+ written,1,[169]
''- artistic,''+ creative,1,[169]
''- tendency,''+ knack,1,[169]
''- Gumroad,''+ Overflow,1,[171]
''- earliest,''+ The,1,[171]
''- celebrating,''+ recognizing,1,[172]
''+ co-founders,''+ who,1,[173]
''- plants,''+ powers,2,"[176, 212]"
''- peak,''+ drop,1,[176]
''- diminishing,''+ developing,1,[176]
''- monkey,''+ linux,1,[176]
''- ::,''+ &,1,[177]
''- >http://www.timesys.com/company/careers</a>,''+ tell,1,[178]
''- professors,''+ teachers,1,[179]
''- Bookkeeper,''+ Bookkeepers,1,[180]
''+ -,''+ New,2,"[180, 180]"
''+ -,''+ Ruby,2,"[180, 180]"
''- xml,''+ html,1,[181]
''- csv,"''+ csv,",1,[181]
''- unexpectedly,''+ incredibly,1,[181]
''- Daniel,''+ Dan,1,[181]
''- SfunCube,''+ Sfun,1,[181]
''- EDM,''+ EMSM,1,[182]
''- more,''+ less,1,[185]
''- ;-),''+ ;-)',1,[186]
''- TTC,''+ T,1,[189]
''- Andrew,''+ St.Andrew,1,[189]
''- Teespring,''+ Teespe,1,[190]
''- Teespring,''+ to,1,[190]
''+ full-time,''+ rails,1,[190]
''- Teespring,''+ Conesound,1,[191]
''- eBook,''+ eBooks,1,[192]
''- regardless,''+ the,1,[194]
''- outfits.,''+ brands.,1,[194]
"''- inevitably,","''+ eventually,",1,[194]
''- orchestrating,''+ architectating,1,[194]
''- comprehensive,''+ extensive,1,[195]
''- accommodations,''+ amenities,1,[196]
''- Philippines.,''+ countries.,2,"[196, 399]"
''- reflected,''+ not,1,[196]
''- eclectic,''+ diverse,1,[196]
''- formatting,''+ quality,1,[196]
"''- Hexagon,",''+ Dublin,1,[197]
''- nurturing,''+ rewarding,1,[197]
''- Tandem's,''+ Tascore's,1,[201]
''- persuasive,''+ compelling,1,[201]
''- advise,''+ guide,1,[201]
''- promotion,''+ marketing,1,[201]
''- REDWOOD,''+ REDACTED,1,[202]
''- expectation,''+ expect,1,[202]
''- MBA,''+ BBA,1,[202]
''- influencer,''+ influacrator,1,[202]
''- Breakfast,''+ Workfast,1,[204]
''- Kemmish,''+ Hermish,1,[205]
''- Diffbot,''+ Compbot,2,"[206, 396]"
''- structuring,''+ structureduring,1,[206]
''- Andy,''+ Peter,1,[206]
"''- 733t,","''+ 717t,",2,"[206, 396]"
''- alias,''+ name,2,"[206, 396]"
''- Mike,''+ W,1,[206]
''- Diffbot,''+ Devtech',1,[206]
''- Thomson,''+ theThomson,1,[207]
''- Reuters,''+ Robert,1,[207]
''- AutoFac,''+ AutomateF,1,[207]
''- >http://jobs.thomsonreuters.com/job/Senior-Software-Engineer-...</a>,''+ ',1,[207]
''+ early-stage,"''+ startup,",1,[208]
''- socio-economics,''+ social-althics,1,[209]
''- Organisations,''+ organizes,1,[209]
''- Importing,''+ Developing,1,[209]
''- columns,''+ positions,1,[209]
''- imported,''+ produced,1,[209]
''- from,''+ take,1,[209]
''+ on-going,"''+ venture,",1,[211]
''- electric,''+ electricity,1,[212]
''- peak,''+ average,1,[212]
''- diminishing,''+ giving,1,[212]
''+ afterwork-beers.,''+ The,1,[212]
''- adore,''+ love,1,[213]
''- >http://www.khanacademy.org/careers</a>,''+ ',2,"[214, 217]"
''+ full-time,''+ and,2,"[214, 337]"
''- shelter.,''+ just,1,[215]
"''- Amber.js,",''+ the,1,[215]
''- horizontal/vertical,''+ vertical/vertical,1,[215]
''+ industry-changing,''+ product.,1,[216]
''- Sandbox,''+ Gound,1,[218]
''- Sandbox,''+ Front,1,[218]
''+ well-working,''+ platforms,1,[218]
''- blow,''+ over,1,[219]
''- overnight.,''+ about,1,[219]
"''- router,","''+ browser,",1,[221]
''- Escape,''+ The,1,[221]
''- the,''+ other,1,[221]
''- Hungry,''+ http://hf,1,[221]
''- Escape,''+ Experience,1,[222]
''- >http://twilio.jobscore.com/list</a>,''+ ',2,"[223, 224]"
''+ Full-time,''+ Twilio,3,"[223, 224, 224]"
''+ Full-time,''+ .,2,"[223, 224]"
''+ Full-time,''+ position.,2,"[223, 224]"
''- comfortably,''+ securely,1,[225]
''- wicked-smart,''+ great-smart,1,[225]
''- wicked-smart,''+ good-smart,1,[227]
''+ -,''+ NYC,1,[228]
''+ -,''+ Hiring,1,[228]
''+ -,''+ http://thinknum.,1,[228]
''- <a,''+ http://vvco.co/careers,1,[229]
''- Sanoga,''+ Sanaya,1,[231]
''- booming,''+ growing,1,[231]
"''- sanoga.com,","''+ Sanaya.com,",1,[231]
"''- layouts,","''+ designs,",1,[231]
''- visuals,''+ graphics,1,[231]
''- therapeutics,''+ medicine-based,1,[232]
''- exceptionally,''+ extremely,1,[232]
''- complement,''+ join,1,[232]
''- biological,''+ bi,1,[232]
''- winners).,''+ winning).,1,[233]
''- ShareRoot,''+ ShareRed,1,[234]
''- ShareRoot,''+ ShareTal,1,[234]
''- contest,''+ competition,1,[234]
"''- Pictures,",''+ The,1,[234]
''- General,"''+ General,",1,[234]
''- respectable,''+ fair,1,[234]
"''- Casino,","''+ Atlantic,",1,[235]
''- Cora…),''+ Cusion,1,[235]
''- Nestlé…),"''+ Ad,",1,[235]
''- ontology.,''+ architecture.,1,[235]
''- expressive,''+ meaningful,1,[235]
''- new,''+ ,1,[237]
''- celebrities,''+ people,2,"[238, 238]"
"''- ""I",''+ I,1,[238]
''- mlulic,''+ luluc,1,[238]
''- THEN,''+ ==,1,[241]
''- LIST,''+ FULL,1,[241]
''- OPPORTUNITIES,''+ OPPORTUNities,2,"[241, 290]"
''- registererd,''+ registeredererd,1,[242]
''- inferior,''+ superior,1,[244]
''- >,''+ >*,1,[245]
''+ -,''+ Competitive,1,[245]
''+ http://venturebeat.com/2014/01/20/this-startup-tells-you-when-companies-try-your-competitors-software-and-is-growing-25-a-month/,''+ >,2,"[247, 250]"
"''- commanding,","''+ management,",1,[249]
''- the,''+ theSI,2,"[251, 306]"
''- orchestration,''+ orchestrification,1,[251]
''- SI,''+ UI,1,[251]
"''- versa,",''+ then,1,[251]
''- traits,''+ ones,1,[251]
''+ Cal-Train,''+ station.,2,"[252, 352]"
"''+ senior-software-engineer-ruby,",''+ is,5,"[253, 253, 265, 331, 331]"
''+ senior-software-engineer-ruby,''+ position.,4,"[253, 265, 331, 331]"
''+ -,"''+ Edinburgh,",1,[253]
"''+ super-fast-growing,",''+ highly,1,[253]
''- Kinvey,''+ Kock,2,"[254, 291]"
''- thrill,''+ excitement,1,[254]
''- Kinvey's,''+ the,1,[254]
''- ridiculously,''+ incredibly,1,[254]
''- >http://news.ycombinator.com/item?id=3653146</a>,''+ ',3,"[255, 287, 332]"
''+ Front-end,''+ developer.,3,"[257, 324, 329]"
''+ Front-end,''+ developer,4,"[257, 324, 329, 375]"
''+ -,''+ Tech,2,"[257, 324]"
''+ --,''+ cbinsights.com/jobs,2,"[257, 324]"
''+ 7-figure,''+ per,2,"[257, 324]"
''- Reid,''+ and,1,[258]
''- Economic,''+ Economics,1,[258]
''- eventual,''+ initial,1,[258]
''- Arizona,''+ AZ,2,"[258, 292]"
''- Pearson,''+ OpenD,1,[258]
''- ugly,''+ beautiful,2,"[261, 286]"
''- confusing.,''+ complicated.,1,[261]
''- outpacing,''+ transcuting,1,[261]
''- Struggle,''+ Incus,1,[261]
"''- frankly,","''+ honestly,",2,"[261, 286]"
"''- struggle,","''+ challenge,",2,"[261, 286]"
''- set-top,''+ set-topbox,1,[262]
''- tedious,''+ loves,2,"[262, 297]"
''- >http://stb-tester.com</a>,''+ ',2,"[262, 297]"
''+ on-site.,''+ The,2,"[262, 297]"
"''- swift,","''+ quick,",2,"[264, 318]"
''- avoiding,''+ experiencing,1,[264]
"''- href=""",''+ ',4,"[264, 304, 318, 338]"
"''+ Full-time,",''+ ONSITE,3,"[264, 304, 318]"
''- information.,''+ information..,1,[266]
''- kiosk,''+ very,1,[267]
''- clearwaveinc.com,''+ clearwaveinc.com',1,[267]
''+ back-end.,''+ The,1,[267]
''- impeccable,''+ excellent,2,"[268, 276]"
''- worse,''+ better,1,[269]
''- Brad,"''+ Brad,",1,[269]
''- Rap,''+ rap,1,[270]
''- dope,''+ nice,1,[270]
''- disk,''+ device,1,[271]
''- impressive,''+ amazing,1,[272]
''- Backend,''+ Android,1,[274]
''- performance.,''+ prior,1,[274]
''+ consumer-facing,''+ app(s),1,[274]
''- 3,''+ three,1,[275]
''- outlets),''+ venues),1,[275]
''- promo,''+ fan-made,1,[275]
''- cheese!,''+ nice,1,[275]
''- Scroll,''+ Sc/Not,1,[277]
''- Scroll,''+ Link,1,[277]
''- stunning,''+ amazing,1,[277]
''- create,''+ produce,1,[277]
''- Scroll’s,''+ L’s,1,[277]
''- Large-scale,''+ Small-scale,1,[281]
''- Cassandra,''+ Protocol,1,[281]
''- Kestrel,''+ Protocol,1,[281]
''- REDACTED_EMAIL,''+ Thrift,1,[281]
''- ———————,''+ ------------------------—,1,[284]
''- modesty,''+ privacy,1,[284]
''- DTU,''+ TDU,1,[285]
''- microbes,''+ organisms,1,[285]
''- chemicals,''+ materials,1,[285]
''- petroleum-based,''+ scientific-based,1,[285]
"''- chemicals,","''+ materials,",1,[285]
"''- ECMAScript2015,",''+ ECMcript,1,[285]
''- confusing.,''+ interesting.,1,[286]
''- outpacing,''+ spreading,1,[286]
''- Struggle,''+ Passion,1,[286]
"''- 51,","''+ 50,",2,"[288, 313]"
''- worst,''+ best,2,"[288, 313]"
''- Andrew,''+ Andrew's,1,[288]
''- CTO,''+ CTO',2,"[288, 313]"
''- >https://nimbula.com/company/careers/</a>,''+ ',2,"[289, 348]"
''+ -,''+ Distributed,2,"[289, 348]"
''- THEN,''+ AND,1,[290]
''- LIST,''+ List,1,[290]
''- thrill,''+ great,1,[291]
''- Kinvey's,''+ your,1,[291]
''- app,''+ apps,1,[291]
''- Reid,''+ Reh,1,[292]
''- eventual,''+ ultimate,1,[292]
''- RevZilla.com,''+ LinuxZilla.com,1,[293]
''- aiming,''+ aim,1,[294]
''- struggle,''+ fight,1,[295]
"''- pivotal,","''+ key,",1,[295]
''- UniCredit,''+ UUniComp,1,[296]
''- UniCredit,''+ UniUni,1,[296]
''- set-top,''+ set-topbox),1,[297]
''- ropes,''+ lines,1,[298]
''- wont,''+ should,1,[298]
''- >http://www.khitchdee.com</a>,''+ ',1,[298]
''- >http://code.mixpanel.com</a>,''+ Based,1,[299]
''- lease,''+ contract,1,[300]
''- affiliates,''+ organizations,2,"[301, 346]"
''- hairbrain,''+ timebrain,1,[302]
''- factory-boy),''+ company-o),1,[302]
"''- (Linode,","''+ (Lionate,",1,[302]
"''- FeinCMS,","''+ EnglishCMS,",1,[302]
''- twelve.,''+ 12.,1,[303]
"''- swift,","''+ fast,",1,[304]
''- avoiding,''+ tackling,1,[304]
''- SI,''+ SF,1,[306]
''- letting,''+ let,1,[307]
''- business-critical,''+ business-,1,[307]
''+ mission-driven,''+ company,1,[309]
''- Pride,''+ Love,1,[310]
''- Creatively,''+ Designively,1,[311]
''- our,''+ the,2,"[311, 311]"
''- module/component,''+ module/tier,1,[311]
''- Configure,''+ Postgresion,1,[311]
''+ -,''+ Senior,1,[312]
''- McGrath,''+ Her,1,[313]
''- columns).,''+ rows).,1,[317]
''+ -,''+ Working,6,"[317, 317, 317, 317, 317, 317]"
''- >http://www.blurb.com/join_us</a>,''+ ',1,[320]
''+ -,''+ front,1,[320]
''- impeccably,''+ perfectlyably,1,[321]
''- slicing,''+ cutting,2,"[321, 325]"
''- touchscreen,''+ device,1,[321]
''- <a,''+ *,1,[322]
''- Among,''+ For,1,[323]
''- implement,''+ implementing,1,[323]
''- broke,''+ broken,1,[325]
''- impeccably,''+ excellentably,1,[325]
''- touchscreen,''+ touch,1,[325]
''- investigations,''+ operations,1,[326]
''- (www.ideofutures.com),''+ web,1,[326]
''- Project,''+ Projections,1,[326]
''- GS,''+ G,2,"[327, 327]"
"''- Marine,",''+ or,1,[327]
"''+ H-Davidson,","''+ pet,",1,[327]
''- >http://www.gsdesign.com/careers</a>,''+ ',1,[327]
"''+ H-Davidson,",''+ Red,1,[327]
''- aerospace,''+ air,1,[328]
''- Bottomline,''+ Clline,1,[330]
"''- Portsmouth,","''+ Portland,",2,"[330, 347]"
''- maternal,"''+ like,",1,[333]
''- agriculture.,"''+ education,",1,[333]
''- Is,''+ IS,1,[335]
''- Before,''+ We?,1,[335]
''- CNBC,''+ CMS,1,[335]
''- (junior||senior),''+ (junior),1,[337]
''- gmail,''+ gmail',1,[337]
"''- swift,","''+ rapid,",1,[338]
''- avoiding,''+ doing,1,[338]
"''+ Full-time,",''+ onSITE,1,[338]
''- flowing,''+ growing,1,[339]
''- ergonomic,''+ ericonomy,1,[339]
''- photograph,''+ photo,1,[339]
''- DTU,''+ DETU,1,[341]
''- microbes,''+ bugs,1,[341]
''- petroleum-based,''+ oil-based,1,[341]
"''- chemicals,","''+ bugs,",1,[341]
''- Doodle,''+ Designer,1,[343]
"''- playful,","''+ funny,",1,[343]
''- Watch,''+ Check,1,[343]
''- Hangouts’,''+ H,1,[343]
''- auto-shop,''+ automated-shop,1,[343]
''- promo,''+ bonus,1,[344]
"''- Reps,","''+ Thanks,",1,[344]
''- cheese!,''+ username,1,[344]
