Change Pair,Count
"('- strong', None)",11
"('- app', None)",11
"('- growing', None)",11
"('- solve', None)",11
"('- has', None)",11
"('- startup', None)",11
"(""- You're"", None)",11
"('- /', None)",11
"('- know', None)",11
"('- ♦', None)",10
"('- position', None)",10
"('- core', None)",10
"('- open', None)",10
"('+ and', '+ big')",10
"('- around', None)",10
"('+ Java', '+ sensei,')",10
"('- great', None)",10
"('- could', None)",10
"('- opportunity', None)",10
"(""- you're"", None)",10
"('- ...', None)",10
"('- technologies', None)",10
"('- years', None)",10
"('+ see', ""+ '"")",10
"('- used', None)",10
"('+ to', '+ work')",10
"('- servers,', None)",10
"('- Python,', None)",10
"('- first', None)",10
"('- environment', None)",10
"('- place', None)",10
"('+ engineers', '+ position.')",10
"('- Engineer', None)",10
"('- up', None)",10
"('- scale', None)",9
"('- do', None)",9
"('+ Hiring', None)",9
"('- hundreds', None)",9
"('- support', None)",9
"('- how', None)",9
"('- good', None)",9
"('+ Who', None)",9
"('+ Check', '+ us')",9
"('- over', None)",9
"('- ""Who', None)",9
"('- small', None)",9
"('- now', None)",9
"('+ Looking', '+ for')",9
"('+ data', '+ gurus.')",9
"('- part', None)",9
"('- Hiring""', None)",9
"('- engineer,', None)",9
"('- including', None)",9
"('+ Full', '+ Time')",9
"('- customer', None)",9
"('- online', None)",9
"('- salary', None)",9
"('- source', None)",9
"('+ who', '+ can')",9
"('- you.', None)",9
"('- tools', None)",9
"('- office', None)",9
"('- backend', None)",9
"('- 3D', None)",9
"('- no', None)",9
"('- within', None)",9
"('- Google', None)",9
"('+ Scotland,', '+ Ruby.')",9
"('+ San', '+ Jose,')",9
"('+ in', '+ your')",9
"('- apps', None)",8
"(""- don't"", None)",8
"('- really', None)",8
"('- back-end', None)",8
"('- already', None)",8
"(""- you'll"", None)",8
"('- language', None)",8
"('- com', ""+ com'"")",8
"('+ http://codecademy.com/jobs', '+ position.')",8
"('- per', None)",8
"('- Send', None)",8
"('- engineering', None)",8
"('+ monitor', '+ to')",8
"('- (we', None)",8
"('- problems', None)",8
"('- user', None)",8
"('- --', None)",8
"('- website', None)",8
"('- international', None)",8
"('- much', None)",8
"('+ engineer', '+ position.')",8
"('- live', None)",8
"('+ http://medallia.com/careers/', ""+ >'"")",8
"('- way', None)",8
"('- design,', None)",8
"('- API', None)",8
"('- API,', None)",8
"('- we’ve', None)",8
"('+ out', '+ and')",8
"('- free', None)",8
"('+ Apply', '+ Here!')",8
"('+ developers', '+ who')",8
"('- team.', None)",7
"('- using', None)",7
"('- you,', None)",7
"('- developer', None)",7
"('- server', None)",7
"('+ a', '+ big')",7
"('+ if', '+ having')",7
"('+ New', '+ York')",7
"('+ is', '+ an')",7
"('- grow', None)",7
"(""+ >'"", '+ Based')",7
"('- interested', None)",7
"('+ equity', '+ slice')",7
"(""+ we're"", '+ also')",7
"('+ small', '+ so')",7
"('- key', None)",7
"('+ still', '+ very')",7
"('+ important', '+ factor')",7
"('- please', None)",7
"(""+ we're"", '+ funded')",7
"('+ data', None)",7
"('- front-end', None)",7
"('+ designers', '+ and')",7
"('+ is', '+ a')",7
"('- practices', None)",7
"('- Rails', None)",7
"('- Please', None)",7
"('+ Palo', '+ Alto,')",7
"('- got', None)",7
"('- ruby', None)",7
"('+ Brooklyn,', '+ Full')",7
"('+ to', '+ you')",7
"('- To', None)",7
"('- marketing', None)",7
"('+ are', '+ looking')",7
"('- technical', None)",7
"('- stack', None)",7
"('- via', None)",7
"('- these', None)",7
"('- RevZilla.com', None)",7
"('- where', None)",7
"('- Java', None)",7
"('- some', None)",7
"('+ the', None)",7
"('- month', None)",7
"('- tech', None)",7
"('- apply', None)",7
"('+ Rails', '+ and')",7
"('+ compelling.', '+ Based')",7
"('- right', None)",7
"('+ me', '+ at')",7
"('+ next', '+ role,')",7
"('+ what', '+ we')",7
"('+ can', '+ offer')",7
"('- only', None)",7
"('+ Time)', '+ *')",7
"('+ is', '+ very')",7
"('- related', None)",7
"('- time.', None)",7
"('+ Francisco.', '+ The')",7
"('- fun', None)",7
"('- based', None)",7
"('+ (', None)",7
"('+ in', '+ a')",7
"('- deliver', None)",6
"('- --------------------', None)",6
"('- rails', None)",6
"('+ job', None)",6
"('+ 1k', '+ -')",6
"('+ 100k', '+ machines')",6
"('+ and', '+ hybrid')",6
"('- sense', None)",6
"('- job', None)",6
"('+ clouds.', '+ Contact')",6
"('+ my', '+ username')",6
"('+ at', '+ gmail.')",6
"('+ REDACTED_EMAIL', '+ and')",6
"('- learn', None)",6
"('- something', None)",6
"('+ The', None)",6
"('- background', None)",6
"('- focus', None)",6
"('+ UI/UX,', '+ frontend,')",6
"('- may', None)",6
"('- energy', None)",6
"('+ If', None)",6
"(""- it's"", None)",6
"('+ iOS/Android', '+ developers')",6
"('+ *', '+ Designers')",6
"('+ front-end', '+ develop')",6
"('+ /', '+ front-end')",6
"('+ can', '+ design')",6
"('- 30%', None)",6
"('+ the', '+ software')",6
"('- programming', None)",6
"('- them', None)",6
"('- both', None)",6
"('+ Francisco,', '+ CA')",6
"('- two', None)",6
"('- back', None)",6
"('+ on', '+ our')",6
"('- hang', None)",6
"('- deployments', None)",6
"('- At', None)",6
"('- Product', None)",6
"('- hard', None)",6
"('- come', None)",6
"('+ serialization', '+ (Avro')",6
"('+ mining/algorithms.', '+ See')",6
"('- few', None)",6
"('+ backend', '+ data')",6
"('- teams', None)",6
"('+ in', '+ New')",6
"('- was', None)",6
"('- highly', None)",6
"('- helping', None)",6
"('- etc.', None)",6
"('+ -', '+ Working')",6
"('- &amp;', None)",6
"('- social', None)",6
"('- understand', None)",6
"('- href=""https://www.robinhood.com""', None)",6
"('- paid', None)",6
"('- understanding', None)",6
"('- suggesting', None)",6
"('- developing', None)",6
"('+ product,', '+ our')",6
"('- just', None)",6
"('- test', None)",6
"('- every', None)",6
"('+ if', ""+ you're"")",6
"('- UI', None)",6
"('- application', None)",6
"('- About', None)",6
"('- to:', None)",6
"('+ shoot', '+ me')",6
"('- full-time', None)",6
"('- hear', None)",6
"('- deployed', None)",6
"('- take', None)",6
"('- than', None)",6
"('- We’re', None)",6
"('- quality', None)",6
"('+ https://robinhood.com', None)",6
"('- href=""http://start.matygo.com/careers/""', None)",6
"('- learning', None)",6
"('+ to', '+ build')",6
"('- when', None)",6
"('- they', None)",6
"('+ Labs,', '+ is')",6
"('- making', None)",6
"('- driven', None)",6
"('- level', None)",6
"('- manage', None)",6
"('- personal', None)",6
"('+ Engineer', '+ position.')",6
"('- improving', None)",6
"(""- we'd"", None)",6
"('- processing', None)",5
"('- developer,', None)",5
"('- information.', None)",5
"('- calculating', None)",5
"('- development,', None)",5
"('- experienced', None)",5
"('- Raphael.', None)",5
"('- flows).', None)",5
"('- massive', None)",5
"('- Visualizations', None)",5
"('- In', None)",5
"('- complain', None)",5
"('- lean', None)",5
"('- Netherlands,', None)",5
"('- months', None)",5
"('- World.', None)",5
"('- research', None)",5
"('- drop', None)",5
"('+ a', '+ stock')",5
"('- sounds', None)",5
"('- move', None)",5
"('- issues', None)",5
"('- extract', None)",5
"('- creatively.', None)",5
"('- preference):', None)",5
"('- (ordered', None)",5
"('- later.', None)",5
"('+ CA', '+ -')",5
"('- first,', None)",5
"('- fix', None)",5
"('- proactive,', None)",5
"('- Linux', None)",5
"('- Git', None)",5
"('- write', None)",5
"('- did', None)",5
"('- Things', None)",5
"('+ New', '+ York,')",5
"('+ info.', '+ Based')",5
"('+ senior-software-engineer-ruby,', '+ is')",5
"('- for:', None)",5
"('+ software', '+ engineers')",5
"('- automation', None)",5
"('- give', None)",5
"('- ensure', None)",5
"('+ the', '+ fastest')",5
"('+ technology,', '+ and')",5
"('- community', None)",5
"('+ details', '+ on')",5
"('+ these', '+ positions.')",5
"('+ dedicated', '+ to')",5
"('- quickly', None)",5
"('- internal', None)",5
"('+ Storage,', '+ is')",5
"('+ company,', '+ Nimble')",5
"('- diverse', None)",5
"('+ of', '+ a')",5
"('- cloud', None)",5
"('+ in', '+ Union')",5
"('- printing', None)",5
"('- platform', None)",5
"('- requirements,', None)",5
"('- Docker', None)",5
"('- (for', None)",5
"('- DSLs', None)",5
"('- untested', None)",5
"('- reserves', '+ resources')",5
"('- Scala', None)",5
"('+ built?.', None)",5
"('- built?"".', None)",5
"('- ""If', None)",5
"('+ have', '+ any')",5
"('+ https://parelio.recruiterbox.com/jobs/fk0k2v?referer=hn', None)",5
"('- hardware', None)",5
"('- Python', None)",5
"('- For', None)",5
"(""+ You'll"", '+ be')",5
"('+ the', '+ world.')",5
"('+ PS', '+ Although')",5
"('+ We', '+ pay')",5
"('+ salaries', '+ and')",5
"(""+ it's"", '+ fun!')",5
"('- scratch.', None)",5
"('- Europe,', None)",5
"('- onsite,', None)",5
"('- particularly', None)",5
"('- Apply', None)",5
"('- directly', None)",5
"(""- What's"", None)",5
"('+ the', '+ most')",5
"('- And', None)",5
"('- funded', None)",5
"('+ /', '+ Protocol')",5
"('- cool', None)",5
"('- since', None)",5
"('- href=""http://www.videologygroup.com/""', None)",5
"('- Other', None)",5
"('+ a', '+ small')",5
"('- Services', None)",5
"('+ http://videologygroup.com/', None)",5
"('- ""lmn""', None)",5
"('- done', None)",5
"('- performance', None)",5
"('- makes', None)",5
"('- data,', None)",5
"('- includes', None)",5
"('- engineer', None)",5
"('- page', None)",5
"('- developers', None)",5
"('- New', None)",5
"('- features', None)",5
"('- better', None)",5
"('- lead', None)",5
"('- href=""http://www.ooyala.com/about/careers""', None)",5
"('- hired', None)",5
"('- framework', None)",5
"('- thousands', None)",5
"('- flexible', None)",5
"('- resume', None)",5
"('+ http://panjiva.com/jobs', ""+ >'"")",5
"('- Software', None)",5
"('- solutions', None)",5
"('- base', None)",5
"('- world', None)",5
"('- [at]', None)",5
"('- entire', None)",5
"('- here', None)",5
"('- 24/7', None)",5
"('+ Ruby', '+ on')",5
"('+ all', '+ over')",5
"('- customers', None)",5
"('- Work', None)",5
"('- keep', None)",5
"('- specifically', None)",5
"('- Clever', None)",5
"('+ with', '+ a')",5
"('+ us', '+ at')",5
"('+ on', '+ a')",5
"('- am', None)",5
"('- (and', None)",5
"('+ lmn', None)",5
"('+ early', '+ stage')",5
"('- Deployment', None)",5
"('- more.', None)",5
"('- project', None)",5
"('- space', None)",5
"('- thereafter', None)",5
"('+ the', '+ area')",4
"('+ for', '+ more')",4
"('- Email-', None)",4
"('- mix', None)",4
"('+ -', '+ Thumbtack.')",4
"('+ big', None)",4
"('+ engineers,', '+ designers')",4
"('+ and', '+ data')",4
"('- existing', None)",4
"('+ Square.', '+ Checkout')",4
"('- data""', None)",4
"('- involves', None)",4
"('+ Software', '+ Engineer')",4
"('- Scala.', None)",4
"('- CoffeeScript,', None)",4
"('- ""big', None)",4
"('- there', None)",4
"('- href=""http://www.thumbtack.com/engineering""', None)",4
"('+ the', '+ Web')",4
"('- member', None)",4
"('+ we', '+ can')",4
"('- >http://www.thumbtack.com/engineering</a>', None)",4
"('+ we', None)",4
"('- media', None)",4
"('+ and', '+ back-end')",4
"('- users', None)",4
"('+ interested', '+ please')",4
"('+ are', '+ heycar!')",4
"('+ |', '+ We')",4
"('- range', None)",4
"('- services', None)",4
"('- XMPP', None)",4
"('- >http://www.thumbtack.com/jobs</a>', None)",4
"('- through', None)",4
"('+ directly', '+ at')",4
"('- href=""http://www.thumbtack.com/jobs""', None)",4
"('- why', None)",4
"('- resume.', None)",4
"('- opt-in', None)",4
"('- subject', None)",4
"('+ Engineering,', '+ SRE')",4
"('- >http://www.rglabsinc.com/jobs</a>', None)",4
"('- Handling', None)",4
"('+ in', None)",4
"('- href=""http://www.rglabsinc.com/jobs""', None)",4
"('- href=""', ""+ '"")",4
"('- planning', None)",4
"('- Francisco.', None)",4
"('- San', None)",4
"('- members', None)",4
"('- de', None)",4
"('- follow-up', None)",4
"('- PDF', None)",4
"('- service.', None)",4
"('- 100,000+', None)",4
"('- include', None)",4
"('- receive', None)",4
"('- access', None)",4
"('- opted', None)",4
"('+ -', '+ Software')",4
"('- Strong', None)",4
"('- newsletters', None)",4
"('- recipients', None)",4
"('- responsible', None)",4
"('- like,', None)",4
"('+ and', '+ BI.')",4
"('- ""Web', None)",4
"('- >http://www.aweber.com/careers.htm</a>', None)",4
"('- Computer', None)",4
"('+ hired.', ""+ ;-)'"")",4
"('+ are', '+ basically')",4
"('+ Expert.', '+ You')",4
"('- detailed', None)",4
"('+ Riak,', '+ Couch)')",4
"('+ NoSQL', '+ (Redis,')",4
"(""- MongoDB's"", None)",4
"('- OS', None)",4
"('- desktop', None)",4
"('- preferred', None)",4
"('+ Adcloud,', '+ is')",4
"('- low', None)",4
"('- describing', None)",4
"('+ Cologne,', '+ Germany.')",4
"('- SQL', None)",4
"('- letter', None)",4
"('- Developer""', None)",4
"('- modern', None)",4
"('- href=""http://www.aweber.com/careers.htm""', None)",4
"('- optimization', None)",4
"('+ heycar,', '+ is')",4
"('+ information', '+ about')",4
"('+ data', '+ scientists')",4
"('- Application', None)",4
"('+ the', '+ engineers,')",4
"('+ -', '+ Thumbtack')",4
"('- mostly', None)",4
"('- provide', None)",4
"('+ Developer', '+ position.')",4
"('+ Rails', '+ developer.')",4
"('+ company,', '+ Team')",4
"('+ Work', '+ for')",4
"('+ Coco,', '+ is')",4
"('+ Web', '+ Developer')",4
"('+ bootstrapped', '+ startup')",4
"('+ with', '+ great')",4
"('+ Francisco,', '+ CA.')",4
"('+ culture.', '+ Benefits')",4
"('+ include:', '+ -')",4
"('+ 4', '+ day')",4
"('+ work', '+ week,')",4
"('+ full', '+ time')",4
"('+ pay.', '+ -')",4
"('+ in', '+ Burbank,')",4
"('+ Australia.', '+ Full-Time')",4
"('- career', None)",4
"('- plenty', None)",4
"('- Most', None)",4
"('+ to', '+ help')",4
"('- Scribd', None)",4
"('- alumni', None)",4
"('+ you', '+ are')",4
"('+ developer', '+ position.')",4
"('- able', None)",4
"('+ in', '+ Melbourne,')",4
"('+ clever', None)",4
"('- Java,', None)",4
"('+ the', '+ engineers')",4
"('- my', None)",4
"('+ if', '+ you')",4
"('- interested,', None)",4
"('+ Great', '+ computer')",4
"('+ equipment.', '+ -')",4
"('+ Engineer', '+ Thumbtack')",4
"('+ /', '+ Thrift')",4
"('- feedback', None)",4
"('- view', None)",4
"('+ Core', '+ Engineer')",4
"('+ VMware,', '+ Amazon')",4
"('- >http://www.ooyala.com/</a>', None)",4
"('- href=""http://www.ooyala.com/""', None)",4
"('- Nimbula', None)",4
"('+ Mexico', None)",4
"('+ http://fogcreek.com/jobs', '+ position.')",4
"('- excellent', None)",4
"('+ .', None)",4
"('- it.', None)",4
"('- When', None)",4
"('+ suggests', None)",4
"('- Mexican', None)",4
"('- >http://www.ooyala.com/about/careers</a>', None)",4
"('- see', None)",4
"('+ line', '+ if')",4
"('+ Flexible', '+ hours.')",4
"('+ on-site', '+ role')",4
"('+ but', '+ some')",4
"('- each', None)",4
"('+ -', None)",4
"('+ Support', '+ Engineer')",4
"('+ us', '+ a')",4
"(""+ REDACTED_EMAIL'"", '+ Based')",4
"('+ Redis...).', '+ Drop')",4
"('+ (D3),', '+ Hadoop,')",4
"('+ Scala,', '+ JS')",4
"('- Requirements', None)",4
"('- analysis', None)",4
"('- Development', None)",4
"(""+ you're"", '+ interested,')",4
"('- someone', None)",4
"('- REDACTED_EMAIL.', None)",4
"('+ -', '+ Full')",4
"('- testing', None)",4
"('- successful', None)",4
"('- infrastructure', None)",4
"('- Free', None)",4
"('- phone', None)",4
"('+ We', '+ want')",4
"('- tasks', None)",4
"('- issues,', None)",4
"('- href=""http://parelio.com""', None)",4
"('+ http://parelio.com', None)",4
"('- href=""https://parelio.recruiterbox.com/jobs/fk0k2v?referer=hn""', None)",4
"('+ York,', '+ NY.')",4
"('+ front', '+ end')",4
"('+ description', None)",4
"('- tests', None)",4
"('+ excellent', '+ engineering')",4
"('- full', None)",4
"('+ businesses', '+ with')",4
"('+ is', '+ Amazon')",4
"('+ for', '+ services.')",4
"('+ A', '+ quarter')",4
"('+ million', '+ businesses')",4
"('+ have', '+ listed')",4
"('+ on', '+ Thumbtack,')",4
"('+ new', '+ customers')",4
"('+ team', '+ is')",4
"('+ many', '+ startups,')",4
"(""+ we're"", '+ well')",4
"('+ way', '+ to')",4
"('+ being', '+ profitable.')",4
"('+ Our', '+ small')",4
"('- As', None)",4
"('+ looking', '+ to')",4
"('- located', None)",4
"('- message', None)",4
"('- model,', None)",4
"('- instances', None)",4
"('- calculations.', None)",4
"('- before:', None)",4
"('- database,', None)",4
"('- custom', None)",4
"('- query', None)",4
"('- request', None)",4
"('- href=""https://parelio.recruiterbox.com/jobs/fk0k2p?referer=hn""', None)",4
"('- (think', None)",4
"('- deep', None)",4
"('- objects', None)",4
"('- quick', None)",4
"('- brand', None)",4
"('- offline', None)",4
"('- ec2', None)",4
"('- fast', None)",4
"('- non-programmers),', None)",4
"('- writing', None)",4
"('- Javascript,', None)",4
"('- >.', None)",4
"('- complex', None)",4
"('+ http://wiredcraft.com/careers.html', None)",4
"('- beautiful', None)",4
"('- href=""http://wiredcraft.com/careers.html""', None)",4
"('- us.', None)",4
"('- join', None)",4
"('- power', None)",4
"(""- We'd"", None)",4
"('- founded', None)",4
"('+ We', '+ work')",4
"('+ of', None)",4
"('- means', None)",4
"('- information', None)",4
"('+ more', '+ at')",4
"('+ list', '+ of')",4
"('- least', None)",4
"('- there.', None)",4
"('+ one', '+ of')",4
"('+ growing', '+ storage')",4
"('+ systems', '+ company.')",4
"('+ Python', '+ and')",4
"('- designers', None)",4
"('- Some', None)",4
"('- Sometimes', None)",4
"('- environment.', None)",4
"('- start-up', None)",4
"('+ interested', '+ email')",4
"('+ bankim', '+ [at]')",4
"('- way,', None)",4
"('- requirements', None)",4
"('- interfaces', None)",4
"('- awesome', None)",4
"(""+ Here's"", '+ a')",4
"('+ (),', None)",4
"('+ Front-end', '+ developer')",4
"('- Senior', None)",4
"('- not', None)",4
"('- >http://www.nimblestorage.com/company/careers.php</a>', None)",4
"('- href=""http://www.nimblestorage.com/company/careers.php""', None)",4
"('- SI', None)",4
"('- Android', None)",4
"('- until', None)",4
"('- value', None)",4
"('+ info', '+ at')",4
"('+ us', '+ -')",4
"('- sound', None)",4
"('+ article', '+ about')",4
"('- reach', None)",4
"('- startup.', None)",4
"('+ recent', '+ VentureBeat')",4
"('+ sometimes', None)",4
"('- consider', None)",4
"('- efficient', None)",4
"('+ Back', '+ End/Fullstack')",4
"('- hire', None)",4
"('+ does', '+ deliver!')",4
"('- Union', None)",4
"('+ Our', '+ 50+')",4
"('- Your', None)",4
"('- PostgreSQL,', None)",4
"('+ senior-software-engineer-ruby', '+ position.')",4
"('- ways', None)",4
"('- downtown', None)",4
"('- pay', None)",4
"('+ instant', '+ oops,')",4
"('- large', None)",4
"('- entrepreneur', None)",4
"('- Flask,', None)",4
"('- early', None)",4
"('- location', None)",4
"('- qualifications', None)",4
"('- above', None)",4
"('- app.', None)",4
"('- time', None)",4
"('- hours', None)",4
"('+ France', '+ and')",4
"('+ flavor', '+ combination')",4
"('- plus.', None)",4
"('+ in', '+ Chambéry,')",4
"('- (python', None)",3
"('- Quintel', '+ Quit')",3
"('- preferred)', None)",3
"('- Model', None)",3
"('+ code', None)",3
"('+ startup', '+ position.')",3
"('- create', None)",3
"('- elite', None)",3
"('+ SFX', '+ Entertainment,')",3
"('- plain', '+ simple')",3
"('+ Zilla.com', None)",3
"('+ stock,', None)",3
"('- powersports', None)",3
"('+ in', '+ science')",3
"('- stocks,', None)",3
"('+ powersport', None)",3
"('+ revZilla.com', None)",3
"('+ and', '+ Javascript')",3
"('+ is', '+ required.')",3
"('- Working', None)",3
"('+ devs', '+ -')",3
"('+ geospatial', '+ and')",3
"('+ business', '+ All')",3
"('+ Lausanne,', '+ Switzerland')",3
"('+ open', '+ source.')",3
"('+ Geospatial', '+ development')",3
"('+ is', '+ primarily')",3
"('- Markets,', None)",3
"('+ Javascript', '+ (OpenLills,')",3
"('+ Ext.js)', '+ and')",3
"('+ Python', '+ (Pylons,')",3
"('+ and', ""+ let's"")",3
"('- tons', None)",3
"('+ Business', '+ development')",3
"('+ is', '+ Python')",3
"('+ (OpenERP).', '+ Full')",3
"('+ positions:', '+ Based')",3
"('- flipped', '+ flip')",3
"('- charming', '+ beautiful')",3
"('+ Send', '+ me')",3
"('+ handling', None)",3
"('+ model', None)",3
"('+ Bangalore,', '+ India.')",3
"('- >http://start.matygo.com/careers/</a>)', None)",3
"('+ -', '+ Python')",3
"('- href=""http://byliner.com/jobs""', None)",3
"('+ http://venturebeat.com/2014/01/20/this-startup-tells-you-when-companies-try-your-competitors-software-and-is-growing-25-a-month/', None)",3
"('- monkey', None)",3
"('- prior', None)",3
"('- environments', None)",3
"('+ is', '+ looking')",3
"('+ The', '+ original')",3
"('+ in', '+ an')",3
"('- Ruby,', None)",3
"('+ open', '+ thread')",3
"('- experience.', None)",3
"('- href=""http://www.freeagent.com/company/jobs/senior-software-engineer-ruby""', None)",3
"('- 10', None)",3
"('+ developers.', '+ Sorry')",3
"('+ City,', '+ NY.')",3
"('+ Fog', '+ Creek')",3
"('+ technologies:', '+ a')",3
"('+ Software,', '+ is')",3
"('- 0', None)",3
"('- everywhere', None)",3
"('- threads', None)",3
"('+ MAM', '+ &amp;')",3
"('+ we', '+ are')",3
"('+ If', '+ you')",3
"('- QA', None)",3
"('+ infectious', '+ disease,')",3
"('- profitable,', None)",3
"('- Ansible', None)",3
"('- dev', None)",3
"('- bring', None)",3
"(""- you'd"", None)",3
"('- Ready', None)",3
"('+ small', '+ team')",3
"('+ and', '+ it')",3
"('+ Manhattan', '+ and')",3
"('- center', None)",3
"('- wall!)', None)",3
"('- climbing', None)",3
"('- >http://www.freeagent.com/company/jobs/senior-software-engine...</a>', None)",3
"('+ of', '+ our')",3
"('- rock', None)",3
"('- (go-karts', None)",3
"('- Healthagen', None)",3
"('+ Pune,', '+ India.')",3
"('+ no', '+ to')",3
"('- Why', None)",3
"('- person.', None)",3
"(""+ we're"", '+ looking')",3
"('+ (Netflix', None)",3
"('- (""Netflix', None)",3
"('+ was', '+ founded')",3
"('+ the', '+ powersport')",3
"('- active', None)",3
"('- significant', None)",3
"('- questions', None)",3
"('+ scientists', '+ position.')",3
"('- event', None)",3
"('- needed,', None)",3
"('+ and', '+ are')",3
"('- industry', None)",3
"('+ We', '+ use')",3
"('- comfortable', None)",3
"('- go', None)",3
"('- solutions.', None)",3
"('- jumping', None)",3
"('- eBooks"",', None)",3
"('+ eBooks,', None)",3
"('+ and', '+ management.')",3
"('+ (26', '+ bn)')",3
"('+ Read', '+ more')",3
"('+ remote.', '+ Questions?')",3
"('+ well', '+ funded')",3
"('- ton', None)",3
"('- even', None)",3
"('- (a', None)",3
"('- break', None)",3
"('+ https://parelio.recruiterbox.com/jobs/fk0k2p?referer=hn', None)",3
"('+ Engineer', '+ ::')",3
"('- ""enterprise""', None)",3
"('+ enterprise', None)",3
"('+ insanely', '+ high')",3
