Deletion,Addition,Count,Row Indices,Meaningful,Protected Entity Error,Syntax Error,Link Change
'- Obviously:,'+ Unfortunately:,1,[67],TRUE,N,N,N
'- best-selling,'+ best-market-changing,1,[70],TRUE,N,N,N
'- tiny,'+ small,1,[70],TRUE,N,N,N
'- avenues,'+ areas,1,[70],TRUE,N,N,N
'- Social+Capital,'+ Social+,1,[72],TRUE,N,N,N
'- molecules,'+ databases,1,[75],TRUE,N,Y,N
'- mainly,'+ mostly,1,[75],TRUE,N,N,N
'- Kent,"'+ Kent,",1,[75],FALSE,N,N,N
'- Kemmish,'+ E.,1,[75],FALSE,Y,N,N
"'- Liverpool,","'+ Italy,",1,[78],FALSE,Y,N,N
'- prescribing,'+ GM,1,[78],TRUE,N,N,N
'- catalogue,'+ chart,1,[78],TRUE,N,N,N
'- facilities,'+ services,1,[78],TRUE,N,N,N
'- team-player.,'+ team-,1,[79],TRUE,N,N,N
"'- impediments,","'+ infrastructure,",1,[79],TRUE,N,N,N
'- sufficient,'+ enough,1,[79],TRUE,N,N,N
'- Arch,'+ open,1,[80],FALSE,Y,N,N
'- Hyde,'+ the,1,[80],FALSE,Y,N,N
'- Due,'+ due,1,[80],TRUE,N,N,N
'- DISQUS?,'+ REMQUS?,1,[83],FALSE,Y,N,N
'- topic,'+ subject,1,[83],TRUE,N,N,N
'- >https://www.scirra.com/careers</a>,'+ ',1,[84],FALSE,N,N,Y
'- Almost,'+ Since,1,[85],TRUE,N,N,N
"'- removed,","'+ added,",1,[85],TRUE,N,N,N
'- http://jobs.benzinga.com,'+ http://jobs.,1,[86],FALSE,N,N,Y
'- Candidate,'+ Candidates,1,[87],TRUE,N,Y,N
'- Internet,'+ Network,1,[88],TRUE,N,N,N
'- Capacity,'+ •,1,[89],FALSE,N,Y,N
'- optimization,'+ fixing,1,[89],TRUE,N,N,N
'- recommendations.,'+ fixing,1,[89],TRUE,N,N,N
'- cover,'+ coverage,1,[89],TRUE,N,Y,N
'- Sense.,'+ atSense.,1,[90],FALSE,Y,N,N
'- 1%-3%,'+ 1%,1,[90],FALSE,Y,N,N
'- Although,'+ While,1,[91],TRUE,N,N,N
'- Flickr,'+ Yelp,1,[92],FALSE,Y,N,N
'- Everyme,'+ Ifme,1,[93],FALSE,Y,N,N
'- showed,'+ demonstrated,1,[93],TRUE,N,N,N
'- surprised,'+ well,1,[93],TRUE,N,N,N
'- perfection.,'+ beauty.,1,[93],TRUE,N,N,N
'- Siegler,'+ MULL,1,[93],FALSE,Y,N,N
'- >http://parislemon.com/post/11647475506/your-true-social-netw...</a>,'+ &,1,[93],FALSE,N,N,Y
'+ -,'+ Lead,1,[93],FALSE,N,N,N
'+ -,'+ TheThinknum,1,[94],FALSE,N,N,N
'+ -,'+ http://thinknum.com,1,[94],FALSE,N,N,Y
'+ -TheThinknum,'+ -,1,[94],FALSE,Y,N,N
'- solicitation,'+ recruitment,1,[95],TRUE,N,N,N
'- constraints,'+ alongside,1,[95],TRUE,N,N,N
'- Gumroad,'+ Growth,1,[96],FALSE,Y,N,N
'- Probably,'+ Maybe,1,[96],TRUE,N,N,N
'- earliest,'+ most,1,[96],TRUE,N,N,N
'- ::,'+ #,1,[97],FALSE,N,N,N
'- ::,'+ •,1,[98],FALSE,N,N,N
'- truth,'+ reality,1,[99],TRUE,N,N,N
'+ analytics-driven,'+ technical,1,[102],TRUE,N,N,N
'+ York/NYC/Remote-friendly,'+ SFX,1,[104],FALSE,Y,N,N
'- plants,'+ vests,1,[107],TRUE,N,N,N
'- peak,'+ on,1,[107],TRUE,N,N,N
'- diminishing,'+ growing,1,[107],TRUE,N,N,N
'- house,'+ get,1,[107],TRUE,N,N,N
"'- Glasgow,","'+ Bristol,",1,[112],FALSE,Y,N,N
'+ -,'+ No,1,[114],TRUE,N,N,N
'- (edited,'+ (ed,1,[115],TRUE,N,Y,N
'- unleashes,'+ uses,1,[116],TRUE,N,N,N
'- eBook,'+ EIGHT,1,[121],FALSE,Y,N,N
'- federation,'+ fusion,1,[123],TRUE,N,N,N
'- Developers,'+ the,1,[123],TRUE,N,N,N
'+ http://onapp.com/platform/onapp-en-code-onapp-no-scale,'+ anywhere,1,[123],TRUE,N,N,Y
'- avid,'+ enthusiast,1,[124],TRUE,N,N,N
'+ -Based,'+ on,1,[125],FALSE,N,N,N
'- you,'+ you',1,[128],FALSE,N,N,N
"'- sensing,","'+ behavior,",1,[129],TRUE,N,N,N
'- concise,'+ succinct,1,[130],FALSE,N,N,N
'- sparkling,'+ creating,1,[130],FALSE,N,N,N
'+ Web-developer,'+ position.,1,[131],FALSE,N,N,N
'- refresh.io,'+ rest.io',1,[131],FALSE,Y,N,N
'+ -ly,'+ on-site,1,[132],TRUE,N,N,N
'+ -,'+ Great,1,[132],TRUE,N,N,N
'+ -,'+ Flexible,1,[132],TRUE,N,N,N
'- briefing,'+ telling,1,[133],TRUE,N,N,N
'- May.,'+ May...,1,[136],TRUE,N,Y,N
'- (Major,'+ EIL,1,[137],TRUE,N,Y,N
'- FreeSWITCH,'+ FreeSWitch,1,[137],FALSE,Y,N,N
"'- 2600hz,","'+ 2727z,",1,[137],FALSE,Y,N,N
"'- Sebastopol,","'+ Embok,",1,[138],FALSE,Y,N,N
'- demographics,'+ various,1,[138],TRUE,N,N,N
'- strengthens,'+ makes,1,[138],TRUE,N,N,N
'- supplemental,'+ additional,1,[138],TRUE,N,N,N
"'- Sebastopol,",'+ San,1,[138],FALSE,Y,N,N
'- escalating,'+ growing,1,[139],TRUE,N,N,N
'- •,'+ •••,1,[140],FALSE,N,N,N
'- escalating,'+ increasing,1,[140],TRUE,N,N,N
'- Capacity,'+ Data,1,[140],TRUE,N,N,N
'- Indeed.com,'+ Since.com,1,[141],FALSE,Y,N,N
'- classroom,'+ classrooms,1,[142],TRUE,N,Y,N
'- provably,'+ a,1,[142],TRUE,N,N,N
'- have,'+ Sanuri,1,[142],FALSE,Y,N,N
'- THREE,'+ three,1,[148],FALSE,Y,N,N
'+ http://blog.desksnear.me/careers/ruby-on-rails-job.html,'+ >,1,[149],FALSE,N,N,Y
'+ high-quality,'+ software,1,[149],TRUE,N,N,N
"'- Florida,","'+ Miami,",1,[150],FALSE,Y,N,N
"'- Desk.com,","'+ Desktop.com,",1,[150],FALSE,Y,N,N
"'- anyone,","'+ any,",1,[153],TRUE,N,N,N
'- remembered,'+ heard,1,[153],TRUE,N,N,N
'- disabled,'+ disability,1,[153],TRUE,N,N,N
"'- Hawthorne,","'+ Engineering,",1,[154],FALSE,Y,N,N
"'- Borg,","'+ Boston,",1,[154],FALSE,Y,N,N
'- Simulations,'+ Software,1,[154],TRUE,N,N,N
'+ -,'+ http://spacex.com/careers/position/3857,1,[154],FALSE,N,N,Y
'- writing,'+ Some,1,[154],TRUE,N,N,N
'- the,'+ engineer,1,[154],TRUE,N,N,N
'+ -,'+ http://spacex.com/careers/position/3825,1,[154],FALSE,N,N,Y
'- all,'+ read,1,[155],TRUE,N,N,N
'- want,'+ wanted,1,[155],TRUE,N,Y,N
'+ -,"'+ London,",1,[157],FALSE,Y,N,N
'+ -,'+ Experience,1,[158],TRUE,N,N,N
'- Osborne.,'+ O.,1,[158],FALSE,Y,N,N
'- ideas,'+ ideas.,1,[159],TRUE,N,Y,N
'+ -,'+ http://working,1,[161],FALSE,N,N,Y
'- Layer,'+ Layer--,1,[163],TRUE,N,Y,N
'- plants,'+ sources,1,[164],TRUE,N,N,N
'- peak,'+ summer,1,[164],TRUE,N,N,N
'- diminishing,'+ silification,1,[164],TRUE,N,N,N
'- >http://dev.splunk.com</a>,'+ ',1,[166],FALSE,N,N,Y
'+ -,'+ Splunk,1,[166],FALSE,Y,N,N
"'+ (full-time,","'+ H1B,",1,[166],FALSE,Y,N,N
'- geographic,'+ geom,1,[168],TRUE,N,N,N
'- printed,'+ written,1,[169],TRUE,N,N,N
'- artistic,'+ creative,1,[169],TRUE,N,N,N
'- tendency,'+ knack,1,[169],TRUE,N,N,N
'- Gumroad,'+ Overflow,1,[171],FALSE,Y,N,N
'- earliest,'+ The,1,[171],TRUE,N,N,N
'- celebrating,'+ recognizing,1,[172],TRUE,N,N,N
'+ co-founders,'+ who,1,[173],TRUE,N,N,N
'- peak,'+ drop,1,[176],TRUE,N,N,N
'- diminishing,'+ developing,1,[176],TRUE,N,N,N
'- monkey,'+ linux,1,[176],TRUE,N,N,N
'- ::,'+ &,1,[177],FALSE,N,N,N
'- >http://www.timesys.com/company/careers</a>,'+ tell,1,[178],FALSE,N,N,N
'- professors,'+ teachers,1,[179],TRUE,N,N,N
'- Bookkeeper,'+ Bookkeepers,1,[180],FALSE,Y,N,N
'- xml,'+ html,1,[181],FALSE,N,N,N
'- csv,"'+ csv,",1,[181],FALSE,N,N,N
'- unexpectedly,'+ incredibly,1,[181],TRUE,N,N,N
'- Daniel,'+ Dan,1,[181],FALSE,Y,N,N
'- SfunCube,'+ Sfun,1,[181],FALSE,Y,N,N
'- EDM,'+ EMSM,1,[182],FALSE,Y,N,N
'- more,'+ less,1,[185],TRUE,N,N,N
'- ;-),'+ ;-)',1,[186],TRUE,N,N,N
'- TTC,'+ T,1,[189],FALSE,Y,N,N
'- Andrew,'+ St.Andrew,1,[189],FALSE,Y,N,N
'- Teespring,'+ Teespe,1,[190],FALSE,Y,N,N
'- Teespring,'+ to,1,[190],FALSE,Y,N,N
'+ full-time,'+ rails,1,[190],TRUE,N,N,N
'- Teespring,'+ Conesound,1,[191],FALSE,Y,N,N
'- eBook,'+ eBooks,1,[192],FALSE,Y,N,N
'- regardless,'+ the,1,[194],TRUE,N,N,N
'- outfits.,'+ brands.,1,[194],TRUE,N,N,N
"'- inevitably,","'+ eventually,",1,[194],TRUE,N,N,N
'- orchestrating,'+ architectating,1,[194],TRUE,N,N,N
'- comprehensive,'+ extensive,1,[195],TRUE,N,N,N
'- accommodations,'+ amenities,1,[196],TRUE,N,N,N
'- reflected,'+ not,1,[196],TRUE,N,N,N
'- eclectic,'+ diverse,1,[196],TRUE,N,N,N
'- formatting,'+ quality,1,[196],TRUE,N,N,N
"'- Hexagon,",'+ Dublin,1,[197],FALSE,Y,N,N
'- nurturing,'+ rewarding,1,[197],TRUE,N,N,N
'- Tandem's,'+ Tascore's,1,[201],FALSE,Y,N,N
'- persuasive,'+ compelling,1,[201],TRUE,N,N,N
'- advise,'+ guide,1,[201],TRUE,N,N,N
'- promotion,'+ marketing,1,[201],TRUE,N,N,N
'- REDWOOD,'+ REDACTED,1,[202],FALSE,Y,N,N
'- expectation,'+ expect,1,[202],TRUE,N,Y,N
'- MBA,'+ BBA,1,[202],FALSE,Y,N,N
'- influencer,'+ influacrator,1,[202],TRUE,N,N,N
'- Breakfast,'+ Workfast,1,[204],TRUE,N,N,N
'- Kemmish,'+ Hermish,1,[205],FALSE,Y,N,N
'- structuring,'+ structureduring,1,[206],TRUE,N,,N
'- Andy,'+ Peter,1,[206],FALSE,Y,N,N
'- Mike,'+ W,1,[206],FALSE,Y,N,N
'- Diffbot,'+ Devtech',1,[206],FALSE,Y,N,N
'- Thomson,'+ theThomson,1,[207],FALSE,Y,N,N
'- Reuters,'+ Robert,1,[207],FALSE,Y,N,N
'- AutoFac,'+ AutomateF,1,[207],FALSE,Y,N,N
'- >http://jobs.thomsonreuters.com/job/Senior-Software-Engineer-...</a>,'+ ',1,[207],FALSE,N,N,Y
'+ early-stage,"'+ startup,",1,[208],TRUE,N,N,N
'- socio-economics,'+ social-althics,1,[209],TRUE,N,Y,N
'- Organisations,'+ organizes,1,[209],TRUE,N,Y,N
'- Importing,'+ Developing,1,[209],TRUE,N,N,N
'- columns,'+ positions,1,[209],TRUE,N,N,N
'- imported,'+ produced,1,[209],TRUE,N,N,N
'- from,'+ take,1,[209],TRUE,N,N,N
'+ on-going,"'+ venture,",1,[211],TRUE,N,N,N
'- electric,'+ electricity,1,[212],FALSE,N,Y,N
'- peak,'+ average,1,[212],TRUE,N,N,N
'- diminishing,'+ giving,1,[212],TRUE,N,N,N
'+ afterwork-beers.,'+ The,1,[212],TRUE,N,N,N
'- adore,'+ love,1,[213],TRUE,N,N,N
'- shelter.,'+ just,1,[215],TRUE,N,N,N
"'- Amber.js,",'+ the,1,[215],FALSE,Y,N,N
'- horizontal/vertical,'+ vertical/vertical,1,[215],FALSE,N,Y,N
'+ industry-changing,'+ product.,1,[216],FALSE,N,N,N
'- Sandbox,'+ Gound,1,[218],TRUE,N,N,N
'- Sandbox,'+ Front,1,[218],TRUE,N,N,N
'+ well-working,'+ platforms,1,[218],TRUE,N,N,N
'- blow,'+ over,1,[219],TRUE,N,N,N
'- overnight.,'+ about,1,[219],TRUE,N,N,N
"'- router,","'+ browser,",1,[221],TRUE,N,N,N
'- Escape,'+ The,1,[221],TRUE,N,N,N
'- the,'+ other,1,[221],TRUE,N,N,N
'- Hungry,'+ http://hf,1,[221],FALSE,N,N,Y
'- Escape,'+ Experience,1,[222],TRUE,N,N,N
'- comfortably,'+ securely,1,[225],TRUE,N,N,N
'- wicked-smart,'+ great-smart,1,[225],TRUE,N,N,N
'- wicked-smart,'+ good-smart,1,[227],TRUE,N,N,N
'+ -,'+ NYC,1,[228],FALSE,Y,N,N
'+ -,'+ Hiring,1,[228],TRUE,N,N,N
'+ -,'+ http://thinknum.,1,[228],FALSE,N,N,Y
'- <a,'+ http://vvco.co/careers,1,[229],FALSE,N,N,Y
'- Sanoga,'+ Sanaya,1,[231],FALSE,Y,N,N
'- booming,'+ growing,1,[231],TRUE,N,N,N
"'- sanoga.com,","'+ Sanaya.com,",1,[231],FALSE,Y,N,Y
"'- layouts,","'+ designs,",1,[231],TRUE,N,N,N
'- visuals,'+ graphics,1,[231],TRUE,N,N,N
'- therapeutics,'+ medicine-based,1,[232],TRUE,N,N,N
'- exceptionally,'+ extremely,1,[232],TRUE,N,N,N
'- complement,'+ join,1,[232],TRUE,N,N,N
'- biological,'+ bi,1,[232],TRUE,N,N,N
'- winners).,'+ winning).,1,[233],TRUE,N,Y,N
'- ShareRoot,'+ ShareRed,1,[234],FALSE,Y,N,N
'- ShareRoot,'+ ShareTal,1,[234],FALSE,Y,N,N
'- contest,'+ competition,1,[234],TRUE,N,N,N
"'- Pictures,",'+ The,1,[234],TRUE,N,N,N
'- General,"'+ General,",1,[234],FALSE,N,N,N
'- respectable,'+ fair,1,[234],TRUE,N,N,N
"'- Casino,","'+ Atlantic,",1,[235],FALSE,Y,N,N
'- Cora…),'+ Cusion,1,[235],FALSE,N,Y,N
'- Nestlé…),"'+ Ad,",1,[235],FALSE,Y,N,N
'- ontology.,'+ architecture.,1,[235],TRUE,N,N,N
'- expressive,'+ meaningful,1,[235],TRUE,N,N,N
'- new,'+ ,1,[237],TRUE,N,N,N
"'- ""I",'+ I,1,[238],FALSE,N,Y,N
'- mlulic,'+ luluc,1,[238],FALSE,Y,N,N
'- THEN,'+ ==,1,[241],FALSE,N,Y,N
'- LIST,'+ FULL,1,[241],TRUE,N,N,N
'- registererd,'+ registeredererd,1,[242],FALSE,N,Y,Y
'- inferior,'+ superior,1,[244],TRUE,N,N,N
'- >,'+ >*,1,[245],FALSE,N,Y,N
'+ -,'+ Competitive,1,[245],TRUE,N,N,N
"'- commanding,","'+ management,",1,[249],TRUE,N,N,N
'- orchestration,'+ orchestrification,1,[251],TRUE,N,N,N
'- SI,'+ UI,1,[251],TRUE,N,N,N
"'- versa,",'+ then,1,[251],TRUE,N,N,N
'- traits,'+ ones,1,[251],TRUE,N,N,N
'+ -,"'+ Edinburgh,",1,[253],FALSE,Y,N,N
"'+ super-fast-growing,",'+ highly,1,[253],TRUE,N,N,N
'- thrill,'+ excitement,1,[254],TRUE,N,N,N
'- Kinvey's,'+ the,1,[254],FALSE,Y,N,N
'- ridiculously,'+ incredibly,1,[254],TRUE,N,N,N
'- Reid,'+ and,1,[258],FALSE,Y,N,N
'- Economic,'+ Economics,1,[258],FALSE,N,Y,N
'- eventual,'+ initial,1,[258],TRUE,N,N,N
'- Pearson,'+ OpenD,1,[258],FALSE,Y,N,N
'- confusing.,'+ complicated.,1,[261],TRUE,N,N,N
'- outpacing,'+ transcuting,1,[261],TRUE,N,N,N
'- Struggle,'+ Incus,1,[261],TRUE,N,N,N
'- set-top,'+ set-topbox,1,[262],FALSE,N,Y,N
'- avoiding,'+ experiencing,1,[264],TRUE,N,N,N
'- information.,'+ information..,1,[266],FALSE,N,Y,N
'- kiosk,'+ very,1,[267],TRUE,N,N,N
'- clearwaveinc.com,'+ clearwaveinc.com',1,[267],FALSE,N,N,Y
'+ back-end.,'+ The,1,[267],TRUE,N,N,N
'- worse,'+ better,1,[269],TRUE,N,N,N
'- Brad,"'+ Brad,",1,[269],FALSE,N,Y,N
'- Rap,'+ rap,1,[270],FALSE,N,Y,N
'- dope,'+ nice,1,[270],TRUE,N,N,N
'- disk,'+ device,1,[271],TRUE,N,N,N
'- impressive,'+ amazing,1,[272],TRUE,N,N,N
'- Backend,'+ Android,1,[274],TRUE,N,N,N
'- performance.,'+ prior,1,[274],TRUE,N,N,N
'+ consumer-facing,'+ app(s),1,[274],TRUE,N,N,N
'- 3,'+ three,1,[275],FALSE,N,Y,N
'- outlets),'+ venues),1,[275],TRUE,N,N,N
'- promo,'+ fan-made,1,[275],TRUE,N,N,N
'- cheese!,'+ nice,1,[275],TRUE,N,N,N
'- Scroll,'+ Sc/Not,1,[277],FALSE,Y,N,N
'- Scroll,'+ Link,1,[277],TRUE,N,N,N
'- stunning,'+ amazing,1,[277],TRUE,N,N,N
'- create,'+ produce,1,[277],TRUE,N,N,N
'- Scroll’s,'+ L’s,1,[277],FALSE,Y,N,N
'- Large-scale,'+ Small-scale,1,[281],TRUE,N,N,N
'- Cassandra,'+ Protocol,1,[281],FALSE,Y,N,N
'- Kestrel,'+ Protocol,1,[281],FALSE,Y,N,N
'- REDACTED_EMAIL,'+ Thrift,1,[281],FALSE,N,N,Y
'- ———————,'+ ------------------------—,1,[284],FALSE,N,Y,N
'- modesty,'+ privacy,1,[284],TRUE,N,N,N
'- DTU,'+ TDU,1,[285],FALSE,Y,N,N
'- microbes,'+ organisms,1,[285],TRUE,N,N,N
'- chemicals,'+ materials,1,[285],TRUE,N,N,N
'- petroleum-based,'+ scientific-based,1,[285],TRUE,N,N,N
"'- chemicals,","'+ materials,",1,[285],TRUE,N,N,N
"'- ECMAScript2015,",'+ ECMcript,1,[285],FALSE,Y,N,N
'- confusing.,'+ interesting.,1,[286],TRUE,N,N,N
'- outpacing,'+ spreading,1,[286],TRUE,N,N,N
'- Struggle,'+ Passion,1,[286],TRUE,N,N,N
'- Andrew,'+ Andrew's,1,[288],FALSE,N,Y,N
'- THEN,'+ AND,1,[290],TRUE,N,N,N
'- LIST,'+ List,1,[290],FALSE,N,Y,N
'- thrill,'+ great,1,[291],TRUE,N,N,N
'- Kinvey's,'+ your,1,[291],FALSE,Y,N,N
'- app,'+ apps,1,[291],FALSE,N,Y,N
'- Reid,'+ Reh,1,[292],FALSE,Y,N,N
'- eventual,'+ ultimate,1,[292],TRUE,N,N,N
'- RevZilla.com,'+ LinuxZilla.com,1,[293],FALSE,Y,N,N
'- aiming,'+ aim,1,[294],FALSE,N,Y,N
'- struggle,'+ fight,1,[295],TRUE,N,N,N
"'- pivotal,","'+ key,",1,[295],TRUE,N,N,N
'- UniCredit,'+ UUniComp,1,[296],FALSE,Y,N,N
'- UniCredit,'+ UniUni,1,[296],FALSE,Y,N,N
'- set-top,'+ set-topbox),1,[297],FALSE,N,Y,N
'- ropes,'+ lines,1,[298],TRUE,N,N,N
'- wont,'+ should,1,[298],TRUE,N,N,N
'- >http://www.khitchdee.com</a>,'+ ',1,[298],FALSE,N,N,Y
'- >http://code.mixpanel.com</a>,'+ Based,1,[299],FALSE,N,N,Y
'- lease,'+ contract,1,[300],TRUE,N,N,N
'- hairbrain,'+ timebrain,1,[302],TRUE,N,N,N
'- factory-boy),'+ company-o),1,[302],TRUE,N,N,N
"'- (Linode,","'+ (Lionate,",1,[302],FALSE,Y,N,N
"'- FeinCMS,","'+ EnglishCMS,",1,[302],FALSE,Y,N,N
'- twelve.,'+ 12.,1,[303],FALSE,N,Y,N
"'- swift,","'+ fast,",1,[304],TRUE,N,N,N
'- avoiding,'+ tackling,1,[304],TRUE,N,N,N
'- SI,'+ SF,1,[306],FALSE,Y,N,N
